make,model,price,year,kilometer,fuel_type,transmission,location,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length,width,height,seating_capacity,fuel_tank_capacity,power_bhp,torque_nm
maruti suzuki,dzire vdi amt,770000,2019,72040,diesel,automatic,pune,silver,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1735.0,1515.0,5.0,37.0,74.0,190.0
bmw,3-series 330i m sport edition,3650000,2019,6000,petrol,automatic,delhi,white,first,individual,1998 cc,248 bhp @ 5200 rpm,350 nm @ 1450 rpm,rwd,4633.0,1811.0,1429.0,5.0,57.0,248.0,350.0
kia,sonet gtx plus 1.0 imt [2020-2021],1195000,2022,6200,petrol,manual,kolkata,red,first,individual,998 cc,118 bhp @ 6000 rpm,172 nm @ 1500 rpm,fwd,3995.0,1790.0,1647.0,5.0,45.0,118.0,172.0
mercedes-benz,s-class 500l,1650000,2012,44000,petrol,automatic,mumbai,silver,third,individual,5461 cc,368 bhp @ 6300 rpm,505 nm @ 4400 rpm,rwd,5226.0,2120.0,1479.0,5.0,90.0,368.0,505.0
skoda,superb l&k tsi at,3199000,2021,6900,petrol,automatic,kolkata,brown,first,individual,1798 cc,177 bhp @ 5100 rpm,250 nm @ 1250 rpm,fwd,4861.0,1864.0,1483.0,5.0,66.0,177.0,250.0
mercedes-benz,e-class e 200 exclusive [2019-2019],7100000,2022,2500,petrol,automatic,noida,grey,first,individual,1991 cc,194 bhp @ 5800 rpm,300 nm @ 1600 rpm,rwd,5063.0,1860.0,1494.0,5.0,80.0,194.0,300.0
volkswagen,polo gt tsi,625000,2016,68000,petrol,automatic,delhi,white,first,individual,1197 cc,103 bhp @ 5000 rpm,175 nm @ 1500 rpm,fwd,3971.0,1682.0,1469.0,5.0,45.0,103.0,175.0
maruti suzuki,vitara brezza vdi,745000,2018,36000,diesel,manual,patna,white,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
hyundai,santro sportz,551000,2021,19000,petrol,manual,ahmedabad,white,first,individual,1086 cc,68 bhp @ 5500 rpm,99 nm @ 4500 rpm,fwd,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0
mercedes-benz,e-class e 220 d avantgarde,5950000,2019,10000,diesel,automatic,chennai,white,first,individual,1950 cc,192 bhp @ 3800 rpm,400 nm @ 1600 rpm,rwd,5063.0,1860.0,1494.0,5.0,80.0,192.0,400.0
land rover,range rover 3.0 v6 diesel vogue,22000000,2019,35000,diesel,automatic,pune,blue,first,individual,2993 cc,244 bhp @ 4000 rpm,600 nm @ 2000 rpm,awd,4999.0,2220.0,1835.0,5.0,105.0,244.0,600.0
mini,cooper d 3 door,3300000,2019,6400,diesel,automatic,delhi,red,first,individual,1496 cc,114 bhp @ 4000 rpm,270 nm @ 1750 rpm,fwd,3821.0,1727.0,1414.0,5.0,44.0,114.0,270.0
ford,endeavour titanium plus 3.2 4x4 at,3250000,2019,34000,diesel,automatic,chennai,white,first,individual,3198 cc,197 bhp @ 3000 rpm,470 nm @ 1750 rpm,awd,4903.0,1869.0,1837.0,7.0,80.0,197.0,470.0
renault,duster 110 ps rxz 4x2 amt diesel,690000,2016,35000,diesel,automatic,delhi,grey,second,individual,1461 cc,108 bhp @ 3900 rpm,248 nm @ 2250 rpm,fwd,4315.0,1822.0,1695.0,5.0,50.0,108.0,248.0
maruti suzuki,vitara brezza vdi ags,894999,2019,46000,diesel,automatic,mumbai,white,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
skoda,rapid ambition 1.6 tdi cr mt,550000,2016,83000,diesel,manual,chandigarh,white,first,individual,1598 cc,105 bhp @ 4400 rpm,250 nm @ 2500 rpm,fwd,4386.0,1699.0,1466.0,5.0,55.0,105.0,250.0
ford,ecosport trend 1.5 tdci,399000,2013,54000,diesel,manual,mumbai,orange,third,individual,1498 cc,89 bhp @ 3750 rpm,204 nm @ 2000 rpm,fwd,3999.0,1765.0,1708.0,5.0,52.0,89.0,204.0
kia,seltos htx 1.5 [2020-2021],1275000,2020,42000,petrol,manual,ahmedabad,black,first,individual,1497 cc,113 bhp @ 6300 rpm,144 nm @ 4500 rpm,fwd,4315.0,1800.0,1645.0,5.0,50.0,113.0,144.0
maruti suzuki,eeco 5 str with a/c+htr [2019-2020],535000,2020,41441,petrol,manual,bangalore,silver,first,individual,1196 cc,73 bhp @ 6000 rpm,101 nm @ 3000 rpm,rwd,3675.0,1475.0,1800.0,5.0,40.0,73.0,101.0
maruti suzuki,vitara brezza vdi,825000,2018,48174,diesel,manual,thane,white,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
ford,ecosport ambiente 1.5l tdci,585000,2016,62591,diesel,manual,mumbai,silver,first,individual,1498 cc,99 bhp @ 3750 rpm,205 nm @ 1750 rpm,fwd,3998.0,1765.0,1647.0,5.0,52.0,99.0,205.0
honda,jazz v at petrol,675000,2017,48650,petrol,automatic,mumbai,brown,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3955.0,1694.0,1544.0,5.0,40.0,89.0,110.0
maruti suzuki,s-cross alpha 1.3,795000,2017,52245,diesel,manual,pune,brown,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4300.0,1785.0,1595.0,5.0,48.0,89.0,200.0
mercedes-benz,e-class e 200 exclusive [2019-2019],6500000,2021,7500,petrol,automatic,delhi,black,first,individual,1991 cc,194 bhp @ 5800 rpm,300 nm @ 1600 rpm,rwd,5063.0,1860.0,1494.0,5.0,80.0,194.0,300.0
hyundai,elite i20 sportz 1.4 crdi,611000,2017,65000,diesel,manual,kheda,white,first,individual,1396 cc,89 bhp @ 4000 rpm,220 nm @ 1500 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,89.0,220.0
maruti suzuki,wagon r vxi,390000,2015,43297,petrol,manual,kollam,red,first,individual,998 cc,67 bhp @ 6200 rpm,90 nm @ 3500 rpm,fwd,3599.0,1495.0,1700.0,5.0,35.0,67.0,90.0
maruti suzuki,swift vxi [2014-2017],650000,2019,44710,petrol,manual,pune,white,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,83.0,115.0
renault,fluence 1.5 e4,390000,2013,62000,diesel,manual,lucknow,silver,first,individual,1461 cc,108 bhp @ 4000 rpm,240 nm @ 1850 rpm,fwd,4618.0,1813.0,1488.0,5.0,67.0,108.0,240.0
audi,a4 35 tdi technology,2400000,2017,59267,diesel,automatic,kolkata,silver,first,individual,1968 cc,188 bhp @ 4200 rpm,400 nm @ 1750 rpm,fwd,4726.0,1842.0,1427.0,5.0,54.0,188.0,400.0
maruti suzuki,swift vxi,385000,2011,69000,petrol,manual,hyderabad,silver,first,individual,1197 cc,85 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,85.0,114.0
maruti suzuki,swift dzire vxi,450000,2017,75000,petrol,manual,kanpur,white,first,commercial registration,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,83.0,115.0
hyundai,grand i10 sports edition 1.2l kappa vtvt,649000,2020,52236,petrol,manual,udupi,silver,first,individual,1197 cc,81 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0
skoda,kodiaq l&k 2.0 tdi 4x4 at,3499000,2020,47000,diesel,automatic,mumbai,white,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4697.0,1882.0,1665.0,7.0,63.0,116.0,200.0
audi,a3 35 tdi premium + sunroof,2900000,2019,15530,diesel,automatic,goa,white,first,individual,1968 cc,141 bhp @ 3500 rpm,320 nm @ 1750 rpm,fwd,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0
maruti suzuki,swift dzire vdi,400000,2014,64000,diesel,manual,agra,white,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0
hyundai,grand i10 nios sportz amt 1.2 kappa vtvt,599000,2020,35000,petrol,automatic,kolkata,silver,first,individual,1197 cc,82 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3805.0,1680.0,1520.0,5.0,37.0,82.0,114.0
toyota,fortuner 2.8 4x2 mt [2016-2020],2980000,2019,92000,diesel,manual,lucknow,black,first,individual,2755 cc,174 bhp @ 3400 rpm,420 nm @ 1600 rpm,rwd,4795.0,1855.0,1835.0,7.0,80.0,174.0,420.0
audi,a4 30 tfsi technology pack,3500000,2018,18000,petrol,automatic,mumbai,white,first,individual,1395 cc,148 bhp @ 5000 rpm,250 nm @ 1500 rpm,fwd,4726.0,1842.0,1427.0,5.0,54.0,148.0,250.0
honda,jazz v petrol,400000,2016,50000,petrol,manual,kolkata,red,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3955.0,1694.0,1544.0,5.0,40.0,89.0,110.0
mercedes-benz,glc 200 progressive,6975000,2022,2000,petrol,automatic,karnal,white,first,individual,1991 cc,194 bhp @ 5500 rpm,320 nm @ 1650 rpm,rwd,4658.0,1890.0,1644.0,5.0,66.0,194.0,320.0
audi,a4 2.0 tdi sline,745000,2013,72000,diesel,automatic,gurgaon,black,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
mercedes-benz,gle 250 d,5400000,2016,16000,diesel,automatic,karnal,white,first,individual,2143 cc,201 bhp @ 3800 rpm,500 nm @ 1600 rpm,awd,4819.0,2141.0,1796.0,5.0,93.0,201.0,500.0
mercedes-benz,gl-class 350 cdi,3700000,2015,103890,diesel,automatic,lucknow,black,second,individual,2987 cc,258 bhp @ 3600 rpm,619 nm @ 1600 rpm,awd,5120.0,1934.0,1850.0,7.0,100.0,258.0,619.0
maruti suzuki,celerio zxi [2017-2019],445000,2018,71000,petrol,manual,ludhiana,white,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3600.0,1600.0,1560.0,5.0,35.0,67.0,90.0
mahindra,thar lx 4-str hard top diesel mt,1475000,2021,12000,diesel,manual,ludhiana,red,first,individual,2184 cc,130 bhp @ 3750 rpm,300 nm @ 1600 rpm,awd,3985.0,1820.0,1844.0,4.0,57.0,130.0,300.0
toyota,fortuner 2.8 4x2 at [2016-2020],2800000,2016,93000,diesel,automatic,mohali,white,first,individual,2755 cc,174 bhp @ 3400 rpm,450 nm @ 1600 rpm,rwd,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0
hyundai,eon magna [2011-2012],190000,2013,63000,petrol,manual,ludhiana,white,second,individual,814 cc,56@5500,75@4000,fwd,3495.0,1550.0,1500.0,5.0,32.0,56.0,75.0
maruti suzuki,swift vxi [2014-2017],600000,2020,10000,petrol,manual,meerut,white,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,83.0,115.0
kia,seltos gtx plus at 1.5 diesel [2019-2020],1835000,2020,33828,diesel,automatic,mumbai,white,first,individual,1493 cc,114 bhp @ 4000 rpm,250 nm @ 1500 rpm,fwd,4315.0,1800.0,1645.0,5.0,50.0,114.0,250.0
maruti suzuki,wagon r lxi 1.0 cng [2019-2020],550000,2019,48000,cng,manual,mumbai,silver,first,individual,998 cc,58 bhp @ 5500 rpm,78 nm @ 3500 rpm,fwd,3655.0,1620.0,1675.0,5.0,60.0,58.0,78.0
maruti suzuki,vitara brezza zdi+ dual tone [2017-2018],715000,2017,71000,diesel,manual,delhi,red,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
mahindra,xuv700 ax 7 diesel at 7 str,2540000,2022,18000,diesel,automatic,delhi,white,first,individual,2184 cc,182 bhp @ 3500 rpm,450 nm @ 1750 rpm,fwd,4695.0,1890.0,1755.0,7.0,60.0,182.0,450.0
maruti suzuki,wagon r lxi (o) 1.0 cng [2019-2020],525000,2019,50000,cng,manual,delhi,grey,first,individual,998 cc,58 bhp @ 5500 rpm,78 nm @ 3500 rpm,fwd,3655.0,1620.0,1675.0,5.0,60.0,58.0,78.0
hyundai,grand i10 sportz (o) 1.2 kappa vtvt [2017-2018],425000,2015,48000,petrol,manual,delhi,silver,first,individual,1197 cc,81 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0
hyundai,elite i20 sportz 1.2 ivt,795000,2022,4000,petrol,automatic,kanpur,white,first,individual,1197 cc,87 bhp @ 6000 rpm,115 nm @ 1500 rpm,fwd,3995.0,1775.0,1505.0,5.0,37.0,87.0,115.0
honda,city 1.5 v mt,269000,2010,73000,petrol,manual,delhi,silver,second,individual,1497 cc,118@6600,146@4600,fwd,4420.0,1695.0,1480.0,5.0,42.0,118.0,146.0
toyota,fortuner 4x2 at,1450000,2013,170669,diesel,automatic,mumbai,white,first,individual,2982 cc,171 @3600,343 @1400,fwd,4705.0,1840.0,1850.0,7.0,80.0,171.0,343.0
hyundai,verna fluidic 1.6 crdi,565000,2014,68000,diesel,manual,lucknow,white,first,individual,1582 cc,128 bhp @ 4000 rpm,260 nm @ 1900 rpm,fwd,4370.0,1700.0,1475.0,5.0,43.0,128.0,260.0
bmw,5-series 520d luxury line,2550000,2015,70000,diesel,automatic,coimbatore,blue,second,individual,1995 cc,190 bhp @ 4000 rpm,400 nm @ 1750 rpm,rwd,4899.0,2094.0,1464.0,5.0,65.0,190.0,400.0
hyundai,i20 active 1.2 s,529000,2015,57654,petrol,manual,zirakpur,white,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1760.0,1555.0,5.0,45.0,82.0,115.0
maruti suzuki,alto vxi (o),400000,2019,22000,petrol,manual,ludhiana,white,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3545.0,1490.0,1475.0,5.0,35.0,67.0,90.0
volkswagen,vento trendline diesel,360000,2012,80000,diesel,manual,chandigarh,white,second,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
maruti suzuki,xl6 zeta mt petrol,975000,2019,41792,petrol,manual,pune,blue,first,individual,1462 cc,103 bhp @ 6000 rpm,138 nm @ 4400 rpm,fwd,4445.0,1775.0,1700.0,6.0,45.0,103.0,138.0
bmw,x1 sdrive20d expedition,2600000,2017,41000,diesel,automatic,hyderabad,blue,first,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,fwd,4439.0,1821.0,1612.0,5.0,51.0,188.0,400.0
mercedes-benz,gl-class 350 cdi,2390000,2013,107021,diesel,automatic,delhi,white,second,individual,2987 cc,258 bhp @ 3600 rpm,619 nm @ 1600 rpm,awd,5120.0,1934.0,1850.0,7.0,100.0,258.0,619.0
kia,seltos gtx plus 1.4 [2020-2021],1550000,2019,17000,petrol,manual,bangalore,white,first,individual,1353 cc,138 bhp @ 6000 rpm,242 nm @ 1500 rpm,fwd,4315.0,1800.0,1645.0,5.0,50.0,138.0,242.0
maruti suzuki,alto vxi amt,430000,2019,57993,petrol,automatic,hyderabad,white,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3545.0,1490.0,1475.0,5.0,35.0,67.0,90.0
tata,tigor ev xz plus,1275000,2021,18000,electric,automatic,hyderabad,grey,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3993.0,1677.0,1532.0,5.0,50.0,116.0,200.0
maruti suzuki,baleno delta 1.2,600000,2018,32000,petrol,manual,mohali,silver,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0
toyota,corolla altis vl at petrol,1650000,2018,25914,petrol,automatic,pune,brown,first,corporate,1798 cc,138 bhp @ 6400 rpm,173 nm @ 4000 rpm,fwd,4620.0,1775.0,1475.0,5.0,55.0,138.0,173.0
jaguar,xf 3.0 v6 premium luxury,3350000,2014,49235,diesel,automatic,bangalore,purple,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
audi,q7 technology 55 tfsi,9400000,2022,4500,petrol,automatic,delhi,black,first,individual,2995 cc,335 bhp @ 5200 rpm,500 nm @ 1370 rpm,awd,5064.0,1970.0,1703.0,7.0,85.0,335.0,500.0
maruti suzuki,alto vxi,250000,2014,114000,petrol,manual,aurangabad,white,second,individual,998 cc,67 bhp @ 6200 rpm,90 nm @ 3500 rpm,fwd,3620.0,1475.0,1460.0,5.0,35.0,67.0,90.0
mahindra,xuv500 w10 at,994999,2016,105000,diesel,automatic,mumbai,grey,second,individual,2179 cc,138 bhp @ 3750 rpm,330 nm @ 1600 rpm,fwd,4585.0,1890.0,1785.0,7.0,70.0,138.0,330.0
maruti suzuki,vitara brezza ldi (o) [2016-2018],675000,2016,45000,diesel,manual,jalandhar,red,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
maruti suzuki,swift dzire vxi,455000,2014,30183,petrol,manual,mumbai,grey,first,individual,1197 cc,85 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,85.0,114.0
volkswagen,polo comfortline 1.2l (d),375000,2012,78000,diesel,manual,raipur,grey,third,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
maruti suzuki,wagon r vxi,345000,2016,73190,petrol,manual,nagpur,grey,second,individual,998 cc,67 bhp @ 6200 rpm,90 nm @ 3500 rpm,fwd,3599.0,1495.0,1700.0,5.0,35.0,67.0,90.0
bmw,x1 sdrive20i xline,4700000,2022,13120,petrol,automatic,pune,white,first,individual,1998 cc,189 bhp @ 5000 rpm,280 nm @ 1350 rpm,fwd,4447.0,1821.0,1598.0,5.0,51.0,189.0,280.0
hyundai,elantra 1.8 sx mt,700000,2014,64000,petrol,manual,dehradun,white,first,individual,1797 cc,147 bhp @ 6500 rpm,177 nm @ 4700 rpm,fwd,4530.0,1775.0,1470.0,5.0,56.0,147.0,177.0
honda,city e diesel,499000,2014,140000,diesel,manual,hyderabad,white,first,individual,1498 cc,99 bhp @ 3600 rpm,200 nm @ 1750 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,99.0,200.0
maruti suzuki,ciaz vxi,590000,2015,39000,petrol,manual,delhi,white,first,individual,1373 cc,91 bhp @ 6000 rpm,130 nm @ 4000 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0
nissan,micra xv cvt [2016-2017],490000,2014,56918,petrol,automatic,coimbatore,blue,second,individual,1198 cc,76 bhp @ 6000 rpm,104 nm @ 4400 rpm,fwd,3825.0,1665.0,1530.0,5.0,41.0,76.0,104.0
maruti suzuki,dzire vdi amt,695000,2018,55000,diesel,automatic,delhi,grey,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1735.0,1515.0,5.0,37.0,74.0,190.0
hyundai,venue sx 1.4 crdi,1025000,2019,42000,diesel,manual,mumbai,silver,first,individual,1396 cc,89 bhp @ 4000 rpm,220 nm @ 1500 rpm,fwd,3995.0,1770.0,1605.0,5.0,45.0,89.0,220.0
volkswagen,tiguan allspace 2.0 tsi,3375000,2021,25000,petrol,automatic,mumbai,silver,first,individual,1984 cc,188 bhp @ 4200 rpm,320 nm @ 1500 rpm,awd,4701.0,1839.0,1674.0,7.0,60.0,188.0,320.0
toyota,innova 2.4 vx 8 str [2016-2020],2250000,2019,28000,diesel,manual,pune,maroon,first,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,8.0,55.0,148.0,343.0
mercedes-benz,gla 200 d sport,2650000,2018,43000,diesel,automatic,mumbai,grey,second,individual,2143 cc,134 bhp @ 3600 rpm,300 nm @ 1600 rpm,fwd,4424.0,1804.0,1494.0,5.0,50.0,134.0,300.0
maruti suzuki,baleno delta 1.2,715000,2021,16000,petrol,manual,delhi,grey,first,individual,1197 cc,83 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,83.0,115.0
hyundai,creta sx 1.6 at crdi,1200000,2019,27657,diesel,automatic,kolkata,grey,second,individual,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1500 rpm,fwd,4270.0,1780.0,1665.0,5.0,55.0,126.0,260.0
hyundai,eon 1.0 kappa magna + [2014-2016],275000,2012,30000,petrol,manual,indore,white,first,individual,998 cc,68 bhp @ 6200 rpm,94 nm @ 3500 rpm,fwd,3515.0,1500.0,1510.0,5.0,32.0,68.0,94.0
honda,city 1.5 v mt,445000,2012,111000,petrol,manual,ernakulam,red,first,individual,1497 cc,116 bhp @ 6600 rpm,146 nm @ 4800 rpm,fwd,4440.0,1695.0,1485.0,5.0,42.0,116.0,146.0
mercedes-benz,a-class a 200d,1850000,2016,37600,diesel,automatic,pune,red,first,individual,2143 cc,134 bhp @ 3600 rpm,300 nm @ 1400 rpm,fwd,4299.0,1780.0,1433.0,4.0,50.0,134.0,300.0
maruti suzuki,baleno alpha 1.3,665000,2017,48000,diesel,manual,delhi,blue,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1745.0,1500.0,5.0,37.0,74.0,190.0
hyundai,creta ex 1.4 crdi,1090000,2019,37000,diesel,manual,hyderabad,blue,first,individual,1396 cc,89 bhp @ 4000 rpm,220 nm @ 1500 rpm,fwd,4270.0,1780.0,1665.0,5.0,55.0,89.0,220.0
mercedes-benz,s-class s 350 cdi,5500000,2015,54000,diesel,automatic,faridabad,white,first,individual,2987 cc,255 bhp @ 3600 rpm,620 nm @ 1600 rpm,rwd,5246.0,1899.0,1494.0,5.0,70.0,255.0,620.0
audi,a6 35 tdi matrix,2400000,2017,81802,diesel,automatic,nashik,blue,second,individual,1968 cc,190 bhp @ 3800 rpm,400 nm @ 1750 rpm,fwd,4933.0,1874.0,1455.0,5.0,75.0,190.0,400.0
hyundai,verna sx plus 1.6 crdi at,1085000,2018,45915,diesel,automatic,mumbai,black,first,individual,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1500 rpm,fwd,4440.0,1729.0,1475.0,5.0,45.0,126.0,260.0
hyundai,alcazar signature (o) 6 str 2.0 petrol at,2140000,2021,24000,petrol,automatic,mumbai,grey,first,individual,1999 cc,157 bhp @ 6500 rpm,191 nm @ 4500 rpm,fwd,4500.0,1790.0,1675.0,6.0,50.0,157.0,191.0
honda,amaze 1.2 v cvt petrol [2018-2020],795000,2019,22224,petrol,automatic,pune,grey,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3995.0,1695.0,1501.0,5.0,35.0,89.0,110.0
maruti suzuki,ertiga vxi cng,1080000,2021,38000,cng,manual,delhi,white,first,individual,1373 cc,94 bhp @ 6000 rpm,130 nm @ 4000 rpm,fwd,4296.0,1695.0,1685.0,7.0,45.0,94.0,130.0
honda,amaze 1.2 s mt petrol [2018-2020],628000,2018,53848,petrol,manual,delhi,maroon,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3995.0,1695.0,1501.0,5.0,35.0,89.0,110.0
bmw,3-series 320d luxury line,1550000,2013,104264,diesel,automatic,hyderabad,red,second,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,rwd,4633.0,1811.0,1429.0,5.0,57.0,188.0,400.0
mercedes-benz,e-class e 200,2400000,2016,61159,petrol,automatic,mumbai,black,second,individual,1991 cc,184 bhp @ 5500 rpm,300 nm @ 1200 rpm,rwd,4879.0,1854.0,1474.0,5.0,80.0,184.0,300.0
honda,city vx (o) mt,595000,2015,72000,petrol,manual,meerut,brown,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
land rover,evoque se,3450000,2016,29000,diesel,automatic,delhi,blue,first,individual,2179 cc,188 bhp @ 3500 rpm,420 nm @ 1750 rpm,awd,4465.0,1900.0,1635.0,5.0,57.0,188.0,420.0
honda,wr-v vx mt petrol,819999,2018,42000,petrol,manual,chennai,maroon,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3999.0,1734.0,1601.0,5.0,40.0,89.0,110.0
audi,q5 2.0 tdi quattro premium plus,1490000,2012,40000,diesel,automatic,raipur,black,first,individual,1968 cc,174 bhp @ 4200 rpm,380 nm @ 1750 rpm,awd,4629.0,1898.0,1653.0,5.0,75.0,174.0,380.0
mahindra,xuv300 1.5 w6 [2019-2020],950000,2020,57400,diesel,manual,agra,white,first,individual,1497 cc,115 bhp @ 3750 rpm,300 nm @ 1500 rpm,fwd,3995.0,1821.0,1627.0,5.0,42.0,115.0,300.0
jaguar,xf prestige diesel cbu,3750000,2019,13500,diesel,automatic,delhi,silver,second,individual,1999 cc,177 bhp @ 4000 rpm,430 nm @ 1750 rpm,rwd,5067.0,2091.0,1457.0,5.0,66.0,177.0,430.0
mercedes-benz,c-class c200 progressive,4950000,2021,12400,petrol,automatic,pune,blue,first,individual,1991 cc,201 bhp @ 5800 rpm,300 nm @ 1200 rpm,rwd,4686.0,1810.0,1442.0,5.0,66.0,201.0,300.0
jeep,compass model s (o) diesel 4x4 at,2950000,2021,38000,diesel,automatic,pune,white,first,individual,1956 cc,168 bhp @ 3750 rpm,350 nm @ 1750 rpm,awd,4405.0,1818.0,1640.0,5.0,60.0,168.0,350.0
mg,hector sharp 1.5 dct petrol [2019-2020],1625000,2019,7000,petrol,automatic,pune,red,first,individual,1451 cc,141 bhp @ 5000 rpm,250 nm @ 1600 rpm,fwd,4655.0,1835.0,1760.0,5.0,60.0,141.0,250.0
toyota,fortuner 3.0 4x4 mt,1290000,2012,121000,diesel,manual,ludhiana,gold,second,individual,2982 cc,169 bhp @ 3600 rpm,343 nm @ 1400 rpm,awd,4705.0,1840.0,1850.0,7.0,80.0,169.0,343.0
toyota,etios liva gd,625000,2015,76000,diesel,manual,pune,white,first,individual,1364 cc,67 bhp @ 3800 rpm,170 nm @ 1800 rpm,fwd,3775.0,1695.0,1510.0,5.0,45.0,67.0,170.0
mahindra,xuv500 w10,1490000,2018,50000,diesel,manual,chennai,maroon,first,individual,2179 cc,138 bhp @ 3750 rpm,330 nm @ 1600 rpm,fwd,4585.0,1890.0,1785.0,7.0,70.0,138.0,330.0
hyundai,i10 asta 1.2 at with sunroof,325000,2013,46721,petrol,automatic,thane,silver,second,individual,1197 cc,80@5200,111@4000,fwd,3565.0,1595.0,1550.0,5.0,35.0,80.0,111.0
mahindra,xuv500 w10 at,1190000,2017,41470,diesel,automatic,delhi,black,first,individual,2179 cc,138 bhp @ 3750 rpm,330 nm @ 1600 rpm,fwd,4585.0,1890.0,1785.0,7.0,70.0,138.0,330.0
