name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mileage_value,mileage_unit,engine_cc,power_bhp
maruti alto lx,2006,120000,30000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti alto k10 vxi,2015,320000,30000,petrol,individual,manual,first owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,23.95,kmpl,998.0,67.05
hyundai accent executive,2011,250000,35000,petrol,individual,manual,first owner,16.36 kmpl,1495 CC,93.7 bhp,124.6Nm@ 3500rpm,5.0,16.36,kmpl,1495.0,93.7
maruti sx4 zxi bsiii,2010,300000,22000,petrol,individual,manual,first owner,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5.0,15.0,kmpl,1586.0,104.68
maruti wagon r vxi,2006,250000,70000,petrol,individual,manual,first owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,kmpl,998.0,67.1
maruti omni e 8 str std,2005,120000,100000,petrol,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
mahindra bolero 2011-2019 mhawk d70 zlx,2018,750000,70000,diesel,individual,manual,first owner,16.5 kmpl,1493 CC,70 bhp,195Nm@ 1400-2200rpm,7.0,16.5,kmpl,1493.0,70.0
mahindra scorpio 2.6 crde,2005,151000,200000,diesel,individual,manual,second owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,10.5,kmpl,2179.0,120.0
tata safari dicor 2.2 ex 4x2,2011,300000,120000,diesel,individual,manual,first owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,13.93,kmpl,2179.0,138.03
maruti ignis 1.2 zeta bsiv,2019,577000,3000,petrol,individual,manual,first owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,20.89,kmpl,1197.0,81.8
maruti alto k10 2010-2014 vxi,2012,229999,50000,petrol,individual,manual,first owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,20.92,kmpl,998.0,67.1
mahindra bolero 2011-2019 zlx,2013,500000,50000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
honda jazz vx cvt,2019,840000,1500,petrol,individual,automatic,first owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,18.2,kmpl,1199.0,88.7
volkswagen vento 1.5 tdi highline,2017,900000,74000,diesel,individual,manual,first owner,22.27 kmpl,1498 CC,108.6 bhp,250Nm@ 1500-3000rpm,5.0,22.27,kmpl,1498.0,108.6
honda jazz 1.2 v i vtec,2017,650000,25000,petrol,individual,manual,first owner,18.7 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,18.7,kmpl,1199.0,88.7
honda jazz 1.5 vx i dtec,2016,650000,61915,diesel,individual,manual,first owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,27.3,kmpl,1498.0,98.6
hyundai eon era plus,2016,250000,110000,petrol,individual,manual,first owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
volkswagen polo 1.5 tdi comfortline,2016,550000,70000,diesel,individual,manual,first owner,20.14 kmpl,1498 CC,88 bhp,230Nm@ 1500-2500rpm,5.0,20.14,kmpl,1498.0,88.0
maruti swift ldi bsiii,2007,250000,150000,diesel,individual,manual,fourth & above owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0,17.8,kmpl,1248.0,75.0
mahindra quanto c4,2013,350000,110000,diesel,individual,manual,second owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,17.21,kmpl,1493.0,100.0
chevrolet beat diesel lt,2014,185000,90000,diesel,individual,manual,second owner,25.44 kmpl,936 CC,56.3 bhp,142.5Nm@ 1750rpm,5.0,25.44,kmpl,936.0,56.3
ford figo petrol titanium,2010,229999,120000,petrol,individual,manual,third owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5.0,15.6,kmpl,1196.0,70.0
toyota innova 2.5 g (diesel) 8 seater,2016,1000000,65000,diesel,individual,manual,first owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,12.99,kmpl,2494.0,100.6
maruti wagon r vxi 1.2,2019,490000,10000,petrol,individual,manual,first owner,20.52 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,20.52,kmpl,1197.0,81.8
hyundai i10 sportz,2009,150000,80000,petrol,individual,manual,second owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti ertiga vdi,2013,600000,184000,diesel,individual,manual,first owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,20.77,kmpl,1248.0,88.76
maruti wagon r cng lxi,2013,270000,80000,cng,individual,manual,second owner,32.52 km/kg,998 CC,58.33 bhp,78Nm@ 3500rpm,5.0,32.52,km/kg,998.0,58.33
maruti zen lxi - bs iii,2005,60000,70000,petrol,individual,manual,second owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,17.3,kmpl,993.0,60.0
maruti sx4 zxi with leather bsiii,2008,150000,89000,petrol,individual,manual,second owner,15.6 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5.0,15.6,kmpl,1586.0,104.68
maruti swift vdi,2013,525000,69000,diesel,individual,manual,second owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,22.9,kmpl,1248.0,74.0
tata indica v2 elx,2012,83000,90000,diesel,individual,manual,second owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,25.0,kmpl,1396.0,69.0
hyundai eon era plus,2017,300000,8000,petrol,individual,manual,first owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
hyundai i20 1.2 sportz,2012,350000,35000,petrol,individual,manual,first owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,17.0,kmpl,1197.0,80.0
hyundai i20 1.2 sportz,2011,300000,45000,petrol,individual,manual,first owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,17.0,kmpl,1197.0,80.0
fiat linea 1.3 active,2011,250000,30000,diesel,individual,manual,first owner,20.4 kmpl,1248 CC,91.2 bhp,209Nm@ 2000rpm,5.0,20.4,kmpl,1248.0,91.2
maruti 800 std,2006,114999,59000,petrol,individual,manual,second owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,kmpl,796.0,37.0
maruti ertiga vxi petrol,2018,700000,6200,petrol,individual,manual,first owner,19.34 kmpl,1462 CC,103 bhp,138Nm@ 4400rpm,7.0,19.34,kmpl,1462.0,103.0
maruti celerio x zxi,2020,250000,120000,petrol,individual,manual,second owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0,21.63,kmpl,998.0,67.0
maruti wagon r lxi bs iv,2016,350000,70000,petrol,individual,manual,first owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,20.51,kmpl,998.0,67.04
maruti omni 5 str std,1998,80000,70000,petrol,individual,manual,first owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,14.0,kmpl,796.0,35.0
mahindra scorpio s2 7 seater,2017,850000,110000,diesel,individual,manual,first owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7.0,15.4,kmpl,2523.0,75.0
hyundai santro xing xg,2004,70000,158000,petrol,individual,manual,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
chevrolet spark 1.0 ls,2007,90000,93000,petrol,individual,manual,third owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0,18.0,kmpl,995.0,62.0
chevrolet tavera neo 3 10 seats bsiii,2014,600000,110000,diesel,individual,manual,first owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,10.0,13.58,kmpl,2499.0,72.4
maruti alto lx,2007,135000,57000,petrol,individual,manual,first owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai accent gle,2005,150000,120000,petrol,individual,manual,first owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5.0,13.2,kmpl,1495.0,94.0
maruti swift dzire vxi,2009,240000,120000,petrol,individual,manual,first owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0,17.5,kmpl,1298.0,85.8
hyundai creta 1.4 e plus,2018,946000,60000,diesel,individual,manual,first owner,22.1 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0,22.1,kmpl,1396.0,88.7
tata indigo ecs lx bsiv,2011,215000,70000,diesel,individual,manual,first owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0,23.03,kmpl,1396.0,69.0
maruti zen lx,1999,50000,60000,petrol,individual,manual,fourth & above owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,17.3,kmpl,993.0,60.0
honda amaze s i-dtech,2013,310000,100000,diesel,individual,manual,first owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,25.8,kmpl,1498.0,98.6
hyundai i10 magna,2008,220000,35000,petrol,individual,manual,first owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti swift vdi bsiii,2008,195000,90000,diesel,individual,manual,third owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0,17.8,kmpl,1248.0,75.0
hyundai i20 active 1.2 s,2015,650000,50000,petrol,individual,manual,first owner,17.19 kmpl,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5.0,17.19,kmpl,1197.0,81.86
hyundai i20 1.2 magna,2011,350000,98000,petrol,individual,manual,first owner,18.5 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,18.5,kmpl,1197.0,80.0
hyundai i20 asta 1.2,2013,360000,30000,petrol,individual,manual,first owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,82.85
hyundai elantra sx,2013,550000,50000,petrol,individual,manual,second owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0,16.3,kmpl,1797.0,147.5
hyundai grand i10 sportz,2016,490000,26000,petrol,individual,manual,first owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,18.9,kmpl,1197.0,82.0
maruti alto lxi,2011,195000,46000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti alto lx,2010,125000,80000,petrol,individual,manual,fourth & above owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
tata tiago 1.2 revotron xz,2019,459999,10000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
maruti alto 800 lxi,2015,275000,16700,petrol,individual,manual,first owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,22.74,kmpl,796.0,47.3
maruti swift dzire vdi,2018,680000,70000,diesel,individual,manual,first owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,kmpl,1248.0,74.02
maruti swift dzire zxi,2015,600000,7967,petrol,individual,manual,first owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,20.85,kmpl,1197.0,83.14
maruti swift zxi plus,2018,720000,20000,petrol,individual,manual,first owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,22.0,kmpl,1197.0,81.8
maruti swift vdi bsiv,2011,295000,50000,diesel,individual,manual,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
renault kwid rxt optional,2016,356000,9656,petrol,individual,manual,first owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,kmpl,799.0,53.3
hyundai i10 era,2011,225000,50000,petrol,individual,manual,first owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.81,kmpl,1086.0,68.05
ford freestyle titanium diesel bsiv,2019,725000,17000,diesel,individual,manual,first owner,24.4 kmpl,1498 CC,98.63 bhp,215Nm@ 1750-3000rpm,5.0,24.4,kmpl,1498.0,98.63
chevrolet spark 1.0 lt,2010,130000,50000,petrol,individual,manual,first owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0,18.0,kmpl,995.0,62.0
renault kwid rxt,2015,300000,10000,petrol,individual,manual,first owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,kmpl,799.0,53.3
hyundai i20 sportz 1.2,2013,400000,43000,petrol,individual,manual,second owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,82.85
hyundai verna 1.4 cx,2013,550000,50000,diesel,individual,manual,first owner,23.5 kmpl,1396 CC,88.7 bhp,219.9Nm@ 1750-2750rpm,5.0,23.5,kmpl,1396.0,88.7
maruti wagon r primea,2006,120000,90000,petrol,individual,manual,second owner,18.9 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5.0,18.9,kmpl,998.0,67.0
mahindra xylo d4 bsiv,2012,409999,100000,diesel,individual,manual,second owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8.0,14.0,kmpl,2498.0,112.0
hyundai santro xing (non-ac),2010,110000,80000,petrol,individual,manual,second owner,0.0 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,0.0,kmpl,1086.0,62.1
mahindra bolero 2011-2019 slx,2012,450000,120000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
maruti swift vxi,2019,610000,5000,petrol,individual,manual,first owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,kmpl,1197.0,81.8
ford ecosport 1.5 dv5 mt trend,2016,515000,68609,diesel,dealer,manual,first owner,22.7 kmpl,1498 CC,89.84 bhp,204Nm@ 2000-2750rpm,5.0,22.7,kmpl,1498.0,89.84
ford ecosport 1.5 tdci titanium be bsiv,2018,925000,33360,diesel,dealer,manual,first owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,22.77,kmpl,1498.0,98.59
nissan kicks xl bsiv,2019,860000,14317,petrol,dealer,manual,first owner,14.23 kmpl,1498 CC,104.55 bhp,142Nm@ 4000rpm,5.0,14.23,kmpl,1498.0,104.55
ford figo diesel titanium,2012,225000,87237,diesel,dealer,manual,second owner,20.0 kmpl,1399 CC,68.05 bhp,160Nm@ 2000rpm,5.0,20.0,kmpl,1399.0,68.05
ford figo 1.5d trend mt,2017,500000,62960,diesel,dealer,manual,first owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,25.83,kmpl,1498.0,99.0
maruti swift dzire amt vxi,2017,600000,26634,petrol,dealer,automatic,first owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,kmpl,1197.0,81.8
ford figo diesel exi option,2012,195000,163720,diesel,dealer,manual,first owner,18.5 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,18.5,kmpl,1399.0,68.0
maruti wagon r lxi bs iv,2012,265000,67998,petrol,dealer,manual,first owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,kmpl,998.0,67.1
ford freestyle trend diesel,2018,650000,20706,diesel,dealer,manual,first owner,23.8 kmpl,1499 CC,98.63 bhp,215Nm@ 1750-2500rpm,5.0,23.8,kmpl,1499.0,98.63
ford figo aspire 1.5 tdci trend,2015,415000,100581,diesel,dealer,manual,first owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,25.83,kmpl,1498.0,99.0
renault duster 85ps diesel rxe adventure,2015,600000,67303,diesel,dealer,manual,first owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,20.45,kmpl,1461.0,83.8
maruti ritz vxi,2013,340000,79139,petrol,dealer,manual,first owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,85.8
hyundai grand i10 crdi sportz,2014,350000,84784,diesel,dealer,manual,first owner,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5.0,24.0,kmpl,1120.0,70.0
maruti ritz ldi,2012,265000,130376,diesel,dealer,manual,second owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0,23.2,kmpl,1248.0,73.94
tata safari dicor 2.2 ex 4x2,2017,625000,72000,diesel,individual,manual,first owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,13.93,kmpl,2179.0,138.03
hyundai verna crdi sx,2008,245000,127000,diesel,individual,manual,second owner,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,16.8,kmpl,1493.0,110.0
maruti swift vdi bsiv,2014,395000,120000,diesel,individual,manual,first owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,25.2,kmpl,1248.0,74.0
fiat punto 1.3 emotion,2010,190000,120000,diesel,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
hyundai xcent 1.1 crdi s,2014,490000,100000,diesel,individual,manual,first owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5.0,24.4,kmpl,1120.0,71.0
toyota etios gd,2012,450000,148000,diesel,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
maruti ertiga shvs vdi,2018,955000,40000,diesel,individual,manual,first owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,24.52,kmpl,1248.0,88.5
maruti swift dzire vdi,2013,525000,110000,diesel,individual,manual,first owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,kmpl,1248.0,74.0
tata tigor 1.2 revotron xz option,2017,550000,30000,petrol,individual,manual,first owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,20.3,kmpl,1199.0,84.0
tata indica vista tdi lx,2014,200000,120000,diesel,individual,manual,second owner,19.1 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,19.1,kmpl,1405.0,70.0
ford figo aspire 1.2 ti-vct trend,2017,500000,15000,petrol,individual,manual,first owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,18.16,kmpl,1196.0,86.8
maruti sx4 s cross 2015-2017 ddis 200 zeta,2016,825000,33500,diesel,individual,manual,first owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,23.65,kmpl,1248.0,88.5
mahindra quanto c6,2012,250000,70000,diesel,individual,manual,first owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,17.21,kmpl,1493.0,100.0
toyota etios cross 1.2l g,2015,600000,10000,petrol,individual,manual,first owner,18.16 kmpl,1197 CC,78.8 bhp,104Nm@ 3100rpm,5.0,18.16,kmpl,1197.0,78.8
mahindra scorpio s7 120,2018,1325000,22053,diesel,individual,manual,first owner,16.36 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0,16.36,kmpl,2179.0,120.0
mahindra tuv 300 t8,2016,770000,50000,diesel,individual,manual,first owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,18.49,kmpl,1493.0,100.0
chevrolet optra magnum 2.0 ls,2011,415000,78432,diesel,individual,manual,first owner,16.52 kmpl,1991 CC,123.7 bhp,305Nm@ 2000rpm,5.0,16.52,kmpl,1991.0,123.7
hyundai santa fe 4x4,2011,825000,125000,diesel,individual,manual,second owner,14.66 kmpl,2199 CC,194.3 bhp,420.7Nm@ 1800-2500rpm,7.0,14.66,kmpl,2199.0,194.3
ford aspire trend diesel bsiv,2018,530000,80000,diesel,individual,manual,first owner,26.1 kmpl,1498 CC,99.23 bhp,215Nm@ 1750-3000rpm,5.0,26.1,kmpl,1498.0,99.23
toyota innova 2.5 v diesel 8-seater,2006,425000,270000,diesel,individual,manual,third owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,12.8,kmpl,2494.0,102.0
honda brio v mt,2012,310000,50000,petrol,individual,manual,second owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,19.4,kmpl,1198.0,86.8
tata tiago 1.2 revotron xz,2017,390000,20000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
hyundai creta 1.6 vtvt e plus,2016,700000,30000,petrol,individual,manual,first owner,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,15.29,kmpl,1591.0,121.3
hyundai i10 sportz 1.1l,2010,200000,70000,petrol,individual,manual,second owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.81,kmpl,1086.0,68.05
toyota innova 2.5 g (diesel) 8 seater,2013,1050000,7200,diesel,individual,manual,first owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,12.99,kmpl,2494.0,100.6
honda city i dtec sv,2014,580000,97000,diesel,individual,manual,first owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,26.0,kmpl,1498.0,98.6
hyundai eon era plus,2014,200000,60000,petrol,individual,manual,second owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
chevrolet sail hatchback petrol ls abs,2013,245000,25000,petrol,individual,manual,first owner,18.2 kmpl,1199 CC,84.8 bhp,113Nm@ 5000rpm,5.0,18.2,kmpl,1199.0,84.8
hyundai i10 sportz,2010,210000,94000,petrol,individual,manual,second owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti baleno lxi,2005,50000,90000,petrol,individual,manual,second owner,15.4 kmpl,1590 CC,94 bhp,130Nm@ 3000rpm,5.0,15.4,kmpl,1590.0,94.0
chevrolet captiva 2.2 ltz awd,2012,700000,50000,diesel,individual,automatic,second owner,12.12 kmpl,2231 CC,184 bhp,424Nm@ 2000rpm,7.0,12.12,kmpl,2231.0,184.0
tata bolt quadrajet xe,2019,660000,35000,diesel,individual,manual,first owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,22.95,kmpl,1248.0,74.0
honda city i vtec v,2015,630000,117500,petrol,individual,manual,second owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,17.4,kmpl,1497.0,117.3
mahindra xuv500 w8 2wd,2012,950000,78500,diesel,individual,manual,first owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,15.1,kmpl,2179.0,140.0
hyundai i20 1.2 asta dual tone,2018,740000,8000,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
ford figo aspire 1.2 ti-vct sports edition,2017,570000,25000,petrol,individual,manual,first owner,18.12 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,18.12,kmpl,1196.0,86.8
hyundai verna 1.6 sx,2012,450000,60000,diesel,individual,manual,third owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,22.32,kmpl,1582.0,126.32
datsun redigo 1.0 t option,2019,390000,10000,petrol,individual,manual,first owner,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,22.5,kmpl,999.0,67.0
ford ikon 1.6 nxt,2009,180000,70000,petrol,individual,manual,second owner,14.2 kmpl,1597 CC,92 bhp,130@ 2500(kgm@ rpm),5.0,14.2,kmpl,1597.0,92.0
tata nano lx,2015,130000,60000,petrol,individual,manual,first owner,25.4 kmpl,624 CC,37.48 bhp,51Nm@ 4000+/-500rpm,4.0,25.4,kmpl,624.0,37.48
honda city 2017-2020 gxi,2006,270000,70000,petrol,individual,manual,second owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,17.7,kmpl,1497.0,78.0
maruti 800 dx,1997,60000,25000,petrol,individual,manual,third owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,kmpl,796.0,37.0
hyundai verna 1.6 xi abs,2006,170000,90000,petrol,individual,manual,third owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5.0,13.9,kmpl,1599.0,103.2
hyundai creta 1.6 crdi sx,2015,978999,90000,diesel,individual,manual,first owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,kmpl,1582.0,126.2
tata tiago 1.2 revotron xm,2018,490000,25000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
ford fiesta diesel style,2012,280000,60000,diesel,individual,manual,second owner,23.5 kmpl,1498 CC,88.7 bhp,204Nm@ 2000-2750rpm,5.0,23.5,kmpl,1498.0,88.7
tata tiago 1.2 revotron xm,2018,390000,25000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
maruti alto 800 vxi,2013,170000,60000,petrol,individual,manual,fourth & above owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,22.74,kmpl,796.0,47.3
chevrolet spark 1.0,2008,45000,70000,petrol,individual,manual,first owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0,18.0,kmpl,995.0,62.0
maruti ertiga shvs vdi,2016,640000,80000,diesel,individual,manual,second owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,24.52,kmpl,1248.0,88.5
mahindra scorpio s2 9 seater,2015,650000,110000,diesel,individual,manual,second owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,9.0,15.4,kmpl,2523.0,75.0
mahindra scorpio lx,2013,500000,115717,diesel,individual,manual,first owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9.0,12.05,kmpl,2179.0,120.0
ford fusion plus 1.4 tdci diesel,2008,90000,110000,diesel,individual,manual,second owner,17.7 kmpl,1399 CC,68 bhp,"16@ 2,000(kgm@ rpm)",5.0,17.7,kmpl,1399.0,68.0
